checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
negative,6,critical account,radio OR tv,1169,unknown OR no savings account,7y <= ...,4,male : single,none,4,real estate,67,none,own,2,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,48,existing AND duly paid,radio OR tv,5951, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,real estate,22,none,own,1,skilled employed OR official ,1,no,yes,2
none,12,critical account,education,2096, ... < 100,4 <= ... < 7y,2,male : single,none,3,real estate,49,none,own,1,unskilled - resident,2,no,yes,1
negative,42,existing AND duly paid,furniture,7882, ... < 100,4 <= ... < 7y,2,male : single,guarantor,4,society savings agreement OR life insurance,45,none,for free,1,skilled employed OR official ,2,no,yes,1
negative,24,delayed,car (new),4870, ... < 100,1 <= ... < 4y,3,male : single,none,4,none OR unknown,53,none,for free,2,skilled employed OR official ,2,no,yes,2
none,36,existing AND duly paid,education,9055,unknown OR no savings account,1 <= ... < 4y,2,male : single,none,4,none OR unknown,35,none,for free,1,unskilled - resident,2,yes,yes,1
none,24,existing AND duly paid,furniture,2835,500 <= ... < 1000,7y <= ...,3,male : single,none,4,society savings agreement OR life insurance,53,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,36,existing AND duly paid,car (used),6948, ... < 100,1 <= ... < 4y,2,male : single,none,2,car OR other,35,none,rent,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,12,existing AND duly paid,radio OR tv,3059,1000 <= ...,4 <= ... < 7y,2,male : separated OR divorced,none,4,real estate,61,none,own,1,unskilled - resident,1,no,yes,1
 0 <= ... <= 200,30,critical account,car (new),5234, ... < 100,unemployed,4,male : married,none,2,car OR other,28,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,no,yes,2
 0 <= ... <= 200,12,existing AND duly paid,car (new),1295, ... < 100, ... < 1y,3,female : married OR separated OR divorced,none,1,car OR other,25,none,rent,1,skilled employed OR official ,1,no,yes,2
negative,48,existing AND duly paid,business,4308, ... < 100, ... < 1y,3,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,24,none,rent,1,skilled employed OR official ,1,no,yes,2
 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,1567, ... < 100,1 <= ... < 4y,1,female : married OR separated OR divorced,none,1,car OR other,22,none,own,1,skilled employed OR official ,1,yes,yes,1
negative,24,critical account,car (new),1199, ... < 100,7y <= ...,4,male : single,none,4,car OR other,60,none,own,2,unskilled - resident,1,no,yes,2
negative,15,existing AND duly paid,car (new),1403, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,4,car OR other,28,none,rent,1,skilled employed OR official ,1,no,yes,1
negative,24,existing AND duly paid,radio OR tv,1282,100 <= ... < 500,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,car OR other,32,none,own,1,unskilled - resident,1,no,yes,2
none,24,critical account,radio OR tv,2424,unknown OR no savings account,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,53,none,own,2,skilled employed OR official ,1,no,yes,1
negative,30,none OR duly paid,business,8072,unknown OR no savings account, ... < 1y,2,male : single,none,3,car OR other,25,bank,own,3,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,24,existing AND duly paid,car (used),12579, ... < 100,7y <= ...,4,female : married OR separated OR divorced,none,2,none OR unknown,44,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
none,24,existing AND duly paid,radio OR tv,3430,500 <= ... < 1000,7y <= ...,3,male : single,none,2,car OR other,31,none,own,1,skilled employed OR official ,2,yes,yes,1
none,9,critical account,car (new),2134, ... < 100,1 <= ... < 4y,4,male : single,none,4,car OR other,48,none,own,3,skilled employed OR official ,1,yes,yes,1
negative,6,existing AND duly paid,radio OR tv,2647,500 <= ... < 1000,1 <= ... < 4y,2,male : single,none,3,real estate,44,none,rent,1,skilled employed OR official ,2,no,yes,1
negative,10,critical account,car (new),2241, ... < 100, ... < 1y,1,male : single,none,3,real estate,48,none,rent,2,unskilled - resident,2,no,no,1
 0 <= ... <= 200,12,critical account,car (used),1804,100 <= ... < 500, ... < 1y,3,male : single,none,4,society savings agreement OR life insurance,44,none,own,1,skilled employed OR official ,1,no,yes,1
none,10,critical account,furniture,2069,unknown OR no savings account,1 <= ... < 4y,2,male : married,none,1,car OR other,26,none,own,2,skilled employed OR official ,1,no,no,1
negative,6,existing AND duly paid,furniture,1374, ... < 100,1 <= ... < 4y,1,male : single,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,1
none,6,none OR duly paid,radio OR tv,426, ... < 100,7y <= ...,4,male : married,none,4,car OR other,39,none,own,1,unskilled - resident,1,no,yes,1
200 < ...,12,duly paid,radio OR tv,409,1000 <= ...,1 <= ... < 4y,3,female : married OR separated OR divorced,none,3,real estate,42,none,rent,2,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,7,existing AND duly paid,radio OR tv,2415, ... < 100,1 <= ... < 4y,3,male : single,guarantor,2,real estate,34,none,own,1,skilled employed OR official ,1,no,yes,1
negative,60,delayed,business,6836, ... < 100,7y <= ...,3,male : single,none,4,none OR unknown,63,none,own,2,skilled employed OR official ,1,yes,yes,2
 0 <= ... <= 200,18,existing AND duly paid,business,1913,1000 <= ..., ... < 1y,3,male : married,none,3,real estate,36,bank,own,1,skilled employed OR official ,1,yes,yes,1
negative,24,existing AND duly paid,furniture,4020, ... < 100,1 <= ... < 4y,2,male : single,none,2,car OR other,27,stores,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,18,existing AND duly paid,car (new),5866,100 <= ... < 500,1 <= ... < 4y,2,male : single,none,2,car OR other,30,none,own,2,skilled employed OR official ,1,yes,yes,1
none,12,critical account,business,1264,unknown OR no savings account,7y <= ...,4,male : single,none,4,none OR unknown,57,none,rent,1,unskilled - resident,1,no,yes,1
200 < ...,12,existing AND duly paid,furniture,1474, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,1,society savings agreement OR life insurance,33,bank,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
 0 <= ... <= 200,45,critical account,radio OR tv,4746, ... < 100, ... < 1y,4,male : single,none,2,society savings agreement OR life insurance,25,none,own,2,unskilled - resident,1,no,yes,2
none,48,critical account,education,6110, ... < 100,1 <= ... < 4y,1,male : single,none,3,none OR unknown,31,bank,for free,1,skilled employed OR official ,1,yes,yes,1
200 < ...,18,existing AND duly paid,radio OR tv,2100, ... < 100,1 <= ... < 4y,4,male : single,co-applicant,2,real estate,37,stores,own,1,skilled employed OR official ,1,no,yes,2
200 < ...,10,existing AND duly paid,domestic appliances,1225, ... < 100,1 <= ... < 4y,2,male : single,none,2,car OR other,37,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,9,existing AND duly paid,radio OR tv,458, ... < 100,1 <= ... < 4y,4,male : single,none,3,real estate,24,none,own,1,skilled employed OR official ,1,no,yes,1
none,30,existing AND duly paid,radio OR tv,2333,500 <= ... < 1000,7y <= ...,4,male : single,none,2,car OR other,30,bank,own,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,1158,500 <= ... < 1000,1 <= ... < 4y,3,male : separated OR divorced,none,1,car OR other,26,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,18,delayed,repairs,6204, ... < 100,1 <= ... < 4y,2,male : single,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,1
negative,30,critical account,car (used),6187,100 <= ... < 500,4 <= ... < 7y,1,male : married,none,4,car OR other,24,none,rent,2,skilled employed OR official ,1,no,yes,1
negative,48,critical account,car (used),6143, ... < 100,7y <= ...,4,female : married OR separated OR divorced,none,4,none OR unknown,58,stores,for free,2,unskilled - resident,1,no,yes,2
none,11,critical account,car (new),1393, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,car OR other,35,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
none,36,existing AND duly paid,radio OR tv,2299,500 <= ... < 1000,7y <= ...,4,male : single,none,4,car OR other,39,none,own,1,skilled employed OR official ,1,no,yes,1
negative,6,existing AND duly paid,car (used),1352,500 <= ... < 1000,unemployed,1,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,23,none,rent,1,unemployed OR unskilled - non-resident,1,yes,yes,1
none,11,critical account,car (new),7228, ... < 100,1 <= ... < 4y,1,male : single,none,4,society savings agreement OR life insurance,39,none,own,2,unskilled - resident,1,no,yes,1
none,12,existing AND duly paid,radio OR tv,2073,100 <= ... < 500,1 <= ... < 4y,4,female : married OR separated OR divorced,co-applicant,2,real estate,28,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,24,delayed,furniture,2333,unknown OR no savings account, ... < 1y,4,male : single,none,2,society savings agreement OR life insurance,29,bank,own,1,unskilled - resident,1,no,yes,1
 0 <= ... <= 200,27,delayed,car (used),5965, ... < 100,7y <= ...,1,male : single,none,2,car OR other,30,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
